PR_Number,Time_to_Review,Comments,Review_Comments,Changed_Files,Additions,Deletions,Total_Changes,Is_Merged,User_Type,CI_Status,Replicated_Code,Wont_Fix,Superseded
13258,13.541666666666666,2,0,3,0,0,0,True,regular,pending,False,False,False
13257,0.0175,0,0,3,0,0,0,False,regular,pending,False,False,False
13256,20.094444444444445,1,0,1,1,5,6,True,regular,pending,False,False,False
13255,143.63194444444446,3,0,15,10,114,124,True,regular,pending,False,False,False
13254,31.375833333333333,2,7,1,2,4,6,True,regular,pending,False,False,False
13253,1129.6539026575,6,7,3,303,2,305,False,regular,pending,False,False,False
13252,481.65972222222223,5,0,3,55,41,96,True,regular,pending,False,False,False
13250,66.34777777777778,0,0,2,23,4,27,True,regular,pending,False,False,False
13248,0.3277777777777778,0,0,2,8,0,8,True,regular,pending,False,False,False
13247,0.37805555555555553,0,0,1,11,6,17,True,regular,pending,False,False,False
13246,285.30611111111114,1,8,8,125,216,341,True,regular,pending,False,False,False
13245,2.9672222222222224,1,0,1,5,1,6,True,regular,pending,False,False,False
13244,149.22833333333332,10,0,3,16,12,28,True,regular,pending,False,False,False
13243,5.489722222222222,2,0,3,4,732,736,True,regular,pending,False,False,False
13242,0.5655555555555556,0,2,28,55,54,109,True,regular,pending,False,False,False
13239,155.94944444444445,0,5,30,24376,25819,50195,True,regular,pending,False,False,False
13238,165.37222222222223,1,8,1,28,0,28,True,regular,pending,False,False,False
13237,16.379722222222224,0,1,8,96,24,120,True,regular,pending,False,False,False
13236,13.061111111111112,7,0,131,768,755,1523,False,regular,pending,False,True,False
13235,22.702222222222222,2,4,4,47,24,71,True,regular,pending,False,False,False
13233,8.008888888888889,0,0,9,252,2,254,True,regular,pending,False,False,False
13232,23.593055555555555,1,6,4,15,3,18,True,regular,pending,False,False,False
13231,20.897222222222222,1,0,1,2,10,12,True,regular,pending,False,False,False
13230,21.04138888888889,0,0,8,5,2960,2965,True,regular,pending,False,False,False
13229,40.86194444444445,4,2,10,48,18,66,True,regular,pending,False,False,False
13227,7.4991666666666665,7,0,55,100,772,872,True,regular,pending,False,False,False
13225,43.13916666666667,0,3,3,70,0,70,True,regular,pending,False,False,False
13224,42.81527777777778,6,7,3,63,10,73,True,regular,pending,False,False,False
13223,191.95,7,1,1,9,0,9,False,regular,pending,False,False,True
13222,215.9947222222222,11,0,6,45,13,58,True,regular,pending,False,False,False
13221,1217.4886653569445,4,13,2,385,100,485,False,regular,pending,False,False,False
13220,66.08111111111111,6,0,3,3,4,7,True,regular,pending,False,False,False
13219,18.20111111111111,5,13,13,106,69,175,True,regular,pending,False,False,False
13217,2.375277777777778,0,0,11,485,315,800,False,regular,pending,False,False,False
13216,28.225,3,0,2,92,134,226,True,regular,pending,False,False,False
13215,1.005,0,0,2,16,14,30,True,regular,pending,False,False,False
13214,0.4161111111111111,0,0,1,1,1,2,True,regular,pending,False,False,False
13213,1.1927777777777777,0,0,11,310,11,321,True,regular,pending,False,False,False
13212,0.5205555555555555,0,0,5,263,68,331,True,regular,pending,False,False,False
13209,60.88527777777778,3,5,56,2022,4756,6778,True,regular,pending,False,False,False
13208,14.918611111111112,4,7,5,263,68,331,True,regular,pending,False,False,False
13206,115.35805555555555,9,8,3,39,0,39,True,regular,pending,False,False,False
13205,71.72944444444444,8,12,20,93,241,334,True,regular,pending,False,False,False
13204,0.30333333333333334,2,0,2,8,13,21,True,regular,pending,False,False,False
13203,78.41194444444444,1,2,4,59,29,88,True,regular,pending,False,False,False
13202,278.7413888888889,19,15,11,263,17,280,True,regular,pending,False,False,False
13201,1306.7593687494443,1,5,2,54,2,56,False,regular,pending,False,False,False
13200,620.8211111111111,11,8,102,2338,1099,3437,False,regular,pending,False,False,False
13199,98.54444444444445,2,3,5,36,16,52,True,regular,pending,False,False,False
13198,1322.2385490983334,10,0,2,22,4,26,False,regular,pending,False,False,False
13197,285.57194444444445,5,5,23,1074,211,1285,True,regular,pending,False,False,False
